Pfam keyword	Pfam term
DUF3143	Protein of unknown function (DUF3143)
DUF3140	Protein of unknown function (DUF3140)
DUF3141	Protein of unknown function (DUF3141)
ACP53EA	Drosophila ACP53EA protein
UPF0506	UPF0506
RGM	Repulsive guidance molecule (RGM) C-terminus|Repulsive guidance molecule (RGM) N-terminus
CLCA	Calcium-activated chloride channel
YtpI	YtpI-like protein
YkuI	EAL-domain associated signalling protein domain
CreA	CreA protein
CreD	Inner membrane protein CreD
YkuD	L,D-transpeptidase catalytic domain
SAC3	Leucine permease transcriptional regulator helical domain
CARDB	CARDB
SdpI	SdpI/YhfL protein family
Ytp1	Protein of unknown function (Ytp1)
But2	Ubiquitin 3 binding protein But2 C-terminal domain
FGGY	FGGY family of carbohydrate kinases, C-terminal domain|FGGY family of carbohydrate kinases, N-terminal domain
BetR	BetR domain
PET	PET Domain
IDEAL	IDEAL domain
DUF1823	Domain of unknown function (DUF1823)
DUF1822	Protein of unknown function (DUF1822)
DUF1820	Domain of unknown function (DUF1820)
DUF1827	Domain of unknown function (DUF1827)
DUF1826	Protein of unknown function (DUF1826)
DUF1825	Domain of unknown function (DUF1825)
DUF1824	Domain of unknown function (DUF1824)
DUF1829	Domain of unknown function DUF1829
DUF1828	Domain of unknown function DUF1828
YrzO	YrzO-like protein
DegQ	DegQ (SacQ) family
DegS	Sensor protein DegS
DegV	Uncharacterised protein, DegV family COG1307
QCR10	Ubiquinol-cytochrome-c reductase complex subunit (QCR10)
OEP	Outer membrane efflux protein
IL6	Interleukin-6/G-CSF/MGF family
IL7	Interleukin 7/9 family
IL4	Interleukin 4
IL5	Interleukin 5
IL2	Interleukin 2
IL3	Interleukin-3
IL1	Interleukin-1 / 18
IL8	Small cytokines (intecrine/chemokine), interleukin-8 like
Mpp10	Mpp10 protein
Bse634I	Cfr10I/Bse634I restriction endonuclease
RepL	Firmicute plasmid replication protein (RepL)
NPL4	NPL4 family|NPL4 family, putative zinc binding region
RepC	Replication protein C (RepC)
RepB	RepB plasmid partitioning protein
RepA	Plasmid encoded RepA protein|Replication initiator protein A (RepA) N-terminus
DicB	DicB protein
NSF	Aromatic-di-Alanine (AdAR) repeat 
RAMP4	Ribosome associated membrane protein RAMP4
WxL	WxL domain surface cell wall-binding
Thoc2	Transcription- and export-related complex subunit
C3HC	C3HC zinc finger-like 
MEA1	Male enhanced antigen 1 (MEA1)
Yip1	Yip1 domain
LicD	LicD family
DUF1311	Protein of unknown function (DUF1311)
DUF1310	Protein of unknown function (DUF1310)
DUF1313	Protein of unknown function (DUF1313)
DUF1312	Protein of unknown function (DUF1312)
DUF1315	Protein of unknown function (DUF1315)
DUF1314	Protein of unknown function (DUF1314)
DUF1317	Protein of unknown function (DUF1317)
Fra10Ac1	Folate-sensitive fragile site protein Fra10Ac1
DUF1319	Protein of unknown function (DUF1319)
DUF1318	Protein of unknown function (DUF1318)
SulA	Cell division inhibitor SulA
SDP	Sex determination protein N terminal
SDF	Sodium:dicarboxylate symporter family
LpxK	Tetraacyldisaccharide-1-P 4'-kinase
YcbB	YcbB domain
LpxB	Lipid-A-disaccharide synthetase
LpxC	UDP-3-O-acyl N-acetylglycosamine deacetylase
LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD  
BACK	BTB And C-terminal Kelch
SpoV	Stage V sporulation protein family
PARP	Poly(ADP-ribose) polymerase catalytic domain|Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
SpoA	Surface presentation of antigens (SPOA)
v110	Viral family 110
DUF1374	Protein of unknown function (DUF1374)
ExbD	Biopolymer transport protein ExbD/TolR
AgrD	Staphylococcal AgrD protein
AgrB	Accessory gene regulator B
Spo7	Spo7-like protein
PET122	PET122
PAR1	PAR1 protein
DUF879	Bacterial protein of unknown function (DUF879)
BURP	BURP domain
Flo11	Flo11 domain
DUF3313	Protein of unknown function (DUF3313)
DUF3312	Protein of unknown function (DUF3312)
DUF3311	Protein of unknown function (DUF3311)
DUF3310	Protein of unknwon function (DUF3310)
DUF3317	Protein of unknown function (DUF3317)
DUF3316	Protein of unknown function (DUF3316)
DUF3315	Domain of unknown function (DUF3315)
DUF3314	Protein of unknown function (DUF3314) 
PLAC8	PLAC8 family
DUF3319	Protein of unknown function (DUF3319)
DUF3318	Protein of unknown function (DUF3318)
DUF3297	Protein of unknown function (DUF3297)
DUF870	Caenorhabditis elegans protein of unknown function (DUF870)
MarR	MarR family
DUF2368	Uncharacterised conserved protein (DUF2368)
DUF46	Putative integral membrane protein DUF46
DUF2404	Putative integral membrane protein conserved region (DUF2404)
DUF2405	Domain of unknown function (DUF2405)
DUF2406	Uncharacterised protein (DUF2406)
DUF2407	DUF2407 ubiquitin-like domain|DUF2407 C-terminal domain
DUF2400	Protein of unknown function (DUF2400)
DUF2401	Putative TOS1-like glycosyl hydrolase (DUF2401)
DUF2955	Protein of unknown function (DUF2955)
DUF935	Protein of unknown function (DUF935)
DUF934	Bacterial protein of unknown function (DUF934)
DUF2958	Protein of unknown function (DUF2958)
DUF2959	Protein of unknown function (DUF2959)
DUF2408	Protein of unknown function (DUF2408)
DUF930	Domain of Unknown Function (DUF930)
DUF932	Domain of unknown function (DUF932)
DUF877	Protein of unknown function (DUF877)
LNS2	LNS2 (Lipin/Ned1/Smp2)
RasGEF	RasGEF domain|RasGEF N-terminal motif
HyaE	Hydrogenase-1 expression protein HyaE
uDENN	uDENN domain
LMBR1	LMBR1-like membrane protein
DcpS	Scavenger mRNA decapping enzyme (DcpS) N-terminal|Scavenger mRNA decapping enzyme C-term binding
DUF3293	Protein of unknown function (DUF3293)
Ecm33	GPI-anchored cell wall organization protein
DUF4330	Domain of unknown function (DUF4330)
DUF4331	Domain of unknown function (DUF4331)
DUF4332	Domain of unknown function (DUF4332)
DUF4333	Domain of unknown function (DUF4333)
DUF4334	Domain of unknown function (DUF4334)
DUF4335	Domain of unknown function (DUF4335)
DUF4336	Domain of unknown function (DUF4336)
DUF4337	Domain of unknown function (DUF4337)
DUF4338	Domain of unknown function (DUF4338)
DUF4339	Domain of unknown function (DUF4339)
NIF3	NIF3 (NGG1p interacting factor 3)
DUF3290	Protein of unknown function (DUF3290)
Abp2	ARS binding protein 2
TP6A	Type IIB DNA topoisomerase
DM13	Electron transfer DM13
LsmAD	LsmAD domain
DPM2	Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)
MMR1	Mitochondrial Myo2 receptor-related protein
Es2	Nuclear protein Es2
C2HC5	Putative zinc finger motif, C2HC5-type
SRI	SRI (Set2 Rpb1 interacting) domain
Bud13	Pre-mRNA-splicing factor of RES complex
PAM2	Ataxin-2 C-terminal region
DUF1126	Repeat of unknown function (DUF1126)
DUF1127	Domain of unknown function (DUF1127)
DUF1125	Protein of unknown function (DUF1125)
NosD	Periplasmic copper-binding protein (NosD)
DUF1120	Protein of unknown function (DUF1120)
GGDEF	GGDEF domain
NosL	NosL
DUF1128	Protein of unknown function (DUF1128)
DUF1129	Protein of unknown function (DUF1129)
VPS9	Vacuolar sorting protein 9 (VPS9) domain
ESPR	Extended Signal Peptide of Type V secretion system
DUF348	Domain of unknown function (DUF348)     
DUF349	Domain of Unknown Function (DUF349)
DUF346	Repeat of unknown function (DUF346)  
DUF347	Repeat of Unknown Function (DUF347) 
DUF342	Protein of unknown function (DUF342)
DUF340	Membrane protein of unknown function (DUF340)
MaoC	Metal-binding domain of MaoC dehydratase
mTERF	mTERF
T5orf172	T5orf172 domain
LMWSLP	Low molecular weight S layer protein N terminal
GCD14	tRNA methyltransferase complex GCD14 subunit
LAP1C	Lamina-associated polypeptide 1C (LAP1C)
LST1	LST-1 protein
DUF690	Protein of unknown function (DUF690)
TctC	Tripartite tricarboxylate transporter family receptor
DUF692	Protein of unknown function (DUF692)
DUF693	Protein of unknown function (DUF693)
DUF694	Family of unknown function (DUF694) 
DUF695	Family of unknown function (DUF695) 
DUF697	Domain of unknown function (DUF697) 
cwf18	cwf18 pre-mRNA splicing factor 
TctA	Tripartite tricarboxylate transporter TctA family
Rax2	Cortical protein marker for cell polarity
IGPD	Imidazoleglycerol-phosphate dehydratase
TSA	Type specific antigen
NtA	Agrin NtA domain
TSP	Thrombospondin C-terminal region
YmaF	YmaF family
Spc24	Spc24 subunit of Ndc80
OsmC	OsmC-like protein
VWD	von Willebrand factor type D domain
VWA	von Willebrand factor type A domain|VWA N-terminal
VWC	von Willebrand factor type C domain
DUF3128	Protein of unknown function (DUF3128)
DUF3129	Protein of unknown function (DUF3129)
YTH	YT521-B-like domain
DUF3120	Protein of unknown function (DUF3120)
DUF3121	Protein of unknown function (DUF3121)
DUF3122	Protein of unknown function (DUF3122)
DUF3123	Protein of unknown function (DUF3123)
DUF3124	Protein of unknown function (DUF3124)
DUF3125	Protein of unknown function (DUF3125)
DUF3126	Protein of unknown function (DUF3126)
DUF3127	Domain of unknown function (DUF3127)
NTNH	Nontoxic nonhaemagglutinin C-terminal
UPF0561	Uncharacterised protein family UPF0561
UPF0560	Uncharacterised protein family UPF0560
PIH1	pre-RNA processing PIH1/Nop17
EKR	Domain of unknown function
RED	RED-like protein C-terminal region|RED-like protein N-terminal region
UPF0564	Uncharacterised protein family UPF0564
YvfG	YvfG protein
ROKNT	ROKNT (NUC014) domain
CLAG	Cytoadherence-linked asexual protein
FCD	FCD domain
FCH	Fes/CIP4, and EFC/F-BAR homology domain
gp32	gp32 DNA binding protein like
gp37	Tail fiber protein gp37 C terminal
DRMBL	DNA repair metallo-beta-lactamase
DUF3436	Domain of unknown function (DUF3436)
DUF3437	Domain of unknown function (DUF3437)
DUF3435	Protein of unknown function (DUF3435)
DUF3432	Domain of unknown function (DUF3432)
DUF3433	Protein of unknown function (DUF3433)
DUF3430	Protein of unknown function (DUF3430)
DUF3431	Protein of unknown function (DUF3431)
DUF3438	Protein of unknown function (DUF3438)
DUF3439	Domain of unknown function (DUF3439)
IBN	Importin-beta N-terminal domain
IBB	Importin beta binding domain
EthD	EthD domain
IBD	Transcription-initiator DNA-binding domain IBD
CAT	Chloramphenicol acetyltransferase
ARS2	Arsenite-resistance protein 2
IBR	IBR domain
PGG	Domain of unknown function
Skp1	Skp1 family, dimerisation domain
DUF1805	Domain of unknown function (DUF1805)
DUF1804	Protein of unknown function (DUF1804)
NUDE	NUDE protein, C-terminal conserved region
DUF1806	Protein of unknown function (DUF1806)
DUF1801	Domain of unknown function (DU1801)
DUF1800	Protein of unknown function (DUF1800)
DUF1803	Domain of unknown function (DUF1803)
DUF1802	Domain of unknown function (DUF1802)
NRPS	Nonribosomal peptide synthase
SSP160	Special lobe-specific silk protein SSP160
COX2	Cytochrome C oxidase subunit II, periplasmic domain
VP40	Matrix protein VP40
UDG	Uracil DNA glycosylase superfamily
OGG	8-oxoguanine DNA glycosylase, N-terminal domain
COX1	Cytochrome C and Quinol oxidase polypeptide I
YlbE	YlbE-like protein
RhoGAP	RhoGAP domain
MIF	Macrophage migration inhibitory factor (MIF)
MIZ	MIZ/SP-RING zinc finger
GHL	Glycosyl hydrolases related to GH101 family
MIP	Major intrinsic protein
MIR	MIR domain
MIT	MIT (microtubule interacting and transport) domain
YrhK	YrhK-like protein
SOR	Sulphur oxygenase reductase
CutA1	CutA1 divalent ion tolerance protein
AOX	Alternative oxidase
DUF1379	Protein of unknown function (DUF1379)
DUF1378	Protein of unknown function (DUF1378)
Rer1	Rer1 family
DUF1373	Protein of unknown function (DUF1373)
DUF1372	Protein of unknown function (DUF1372)
DUF1371	Protein of unknown function (DUF1371)
DUF1370	Protein of unknown function (DUF1370)
DUF1376	Protein of unknown function (DUF1376)
DUF1375	Protein of unknown function (DUF1375)
CaKB	Calcium-activated potassium channel, beta subunit
GAD	GAD domain|GAD-like domain
GH3	GH3 auxin-responsive promoter
Rrn6	RNA polymerase I-specific transcription-initiation factor
HCNGP	HCNGP-like protein
SbcD	Type 5 capsule protein repressor C-terminal domain
MmlI	Methylmuconolactone methyl-isomerase 
BP28CT	BP28CT (NUC211) domain
HXXEE	Protein of unknown function with HXXEE motif
DUF575	Protein of unknown function (DUF575)
DUF577	Family of unknown function (DUF577)
DUF576	Protein of unknown function, DUF576
DUF570	Protein of unknown function (DUF570)    
DUF573	Protein of unknown function, DUF573
DUF572	Family of unknown function (DUF572) 
PAP1	Transcription factor PAP1
DsrC	DsrC like protein
PAP2	PAP2 superfamily|PAP2 superfamily C-terminal
DbpA	DbpA RNA binding domain   
IIGP	Interferon-inducible GTPase (IIGP)
DsrD	Dissimilatory sulfite reductase D (DsrD)
HPPK	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
YHS	YHS domain
DsrH	DsrH like protein
DUF1253	Protein of unknown function (DUF1253)
DUF3339	Protein of unknown function (DUF3339)
DUF3338	Domain of unknown function (DUF3338)
DUF3335	Peptidase_C39 like family
DUF3334	Protein of unknown function (DUF3334)
DUF3337	Domain of unknown function (DUF3337)
DUF3336	Domain of unknown function (DUF3336)
DUF3331	Domain of unknown function (DUF3331)
DUF3330	Domain of unknown function (DUF3330)
DUF3333	Domain of unknown function (DUF3333)
DUF3332	Domain of unknown function (DUF3332)
SseC	Secretion system effector C (SseC) like family 
SseB	SseB protein
TyeA	TyeA
DUF2428	Putative death-receptor fusion protein (DUF2428)
TFCD	Tubulin folding cofactor D C terminal
DUF2427	Domain of unknown function (DUF2427)
DUF2424	Protein of unknown function (DUF2424)
DUF2422	Protein of unknown function (DUF2422)
DUF2423	Protein of unknown function (DUF2423)
DUF2420	Protein of unknown function (DUF2420)
DUF2421	Protein of unknown function (DUF2421)
NumbF	NUMB domain
TRAM1	TRAM1-like protein
BASP1	Brain acid soluble protein 1 (BASP1 protein)
MMPL	MMPL family
PhnG	Phosphonate metabolism protein PhnG
DUF3591	Protein of unknown function (DUF3591)
DUF3590	Protein of unknown function (DUF3590)
DUF3593	Protein of unknown function (DUF3593)
DUF3592	Protein of unknown function (DUF3592)
DUF3595	Protein of unknown function (DUF3595)
DUF3594	Domain of unknown function (DUF3594)
DUF3597	Domain of unknown function (DUF3597)
DUF3596	Domain of unknown function (DUF3596)
DUF3599	Domain of unknown function (DUF3599)
DUF3598	Domain of unknown function (DUF3598)
DUF3845	Domain of Unknown Function with PDB structure
DUF3844	Domain of unknown function (DUF3844)
DUF3843	Protein of unknown function (DUF3843)
DUF3842	Domain of unknown function (DUF3842)
DUF3841	Domain of unknown function (DUF3841)
DUF3840	Protein of unknown function (DUF3840)
UPF0175	Uncharacterised protein family (UPF0175)
UPF0172	Uncharacterised protein family (UPF0172)
UPF0179	Uncharacterised protein family (UPF0179)
DUF917	Protein of unknown function (DUF917)
DUF916	Bacterial protein of unknown function (DUF916)
DUF915	Alpha/beta hydrolase of unknown function (DUF915)
DUF4319	Domain of unknown function (DUF4319)
DUF913	Domain of Unknown Function (DUF913)
DUF912	Nucleopolyhedrovirus protein of unknown function (DUF912)
DUF911	Archaeal protein of unknown function (DUF911)
DUF910	Bacterial protein of unknown function (DUF910)
DUF4312	Domain of unknown function (DUF4312)
DUF4313	Domain of unknown function (DUF4313)
DUF4310	Domain of unknown function (DUF4310)
DUF4311	Domain of unknown function (DUF4311)
DUF4316	Domain of unknown function (DUF4316)
DUF4317	Domain of unknown function (DUF4317)
DUF4314	Domain of unknown function (DUF4314)
DUF918	Nucleopolyhedrovirus protein of unknown function (DUF918)
MGAT2	N-acetylglucosaminyltransferase II (MGAT2)
Apq12	Nuclear pore assembly and biogenesis
SIN1	Stress-activated map kinase interacting protein 1 (SIN1)
Zw10	Centromere/kinetochore Zw10
TLD	TLD
BLVR	Bovine leukaemia virus receptor (BLVR)
P11	P-11 zinc finger
LRRCT	Leucine rich repeat C-terminal domain
PmoA	Methane oxygenase PmoA
SoxD	Sarcosine oxidase, delta subunit family 
SoxE	Sulfocyanin (SoxE)
SoxZ	Sulphur oxidation protein SoxZ
AsmA	AsmA family
SoxY	Sulfur oxidation protein SoxY
PNK3P	Polynucleotide kinase 3 phosphatase
LssY	LssY C-terminus
LcrR	Type III secretion system regulator (LcrR)
LcrV	V antigen (LcrV) protein
DUF1140	Protein of unknown function (DUF1140)
DUF1143	Protein of unknown function (DUF1143)
DUF1144	Protein of unknown function (DUF1144)
DUF1145	Protein of unknown function (DUF1145)
DUF1146	Protein of unknown function (DUF1146)
DUF1147	Protein of unknown function (DUF1147)
DUF1148	Protein of unknown function (DUF1148)
DUF1149	Protein of unknown function (DUF1149)
ParG	ParG
ParD	Antitoxin ParD
ParB	ParB family
ParA	ParA/MinD ATPase like
RRP7	Ribosomal RNA-processing protein 7 (RRP7)
PMBR	Pseudomurein-binding repeat
DUF368	Domain of unknown function (DUF368)
